No.,チャプター名,トピック名,単語,読み方,意味,例文,関連漢字,注意,TICK
55,1章,人間,長所,Na,Na,"長所をみがく・生かす・のばす。
この機械の長所はほとんど修理が要らないことです。","長年・会長
事務所・近所・いい所・台所",～よいところ,Na
56,1章,人間,短所,Na,Na,"すぐおこるのが私の短所です。
彼の案には長所も短所もあります。",短気な人・短いスカート,Na,Na
57,1章,人間,対,Na,Na,"二人で対になるもの
一対の夫婦茶碗",一対一・ 対になる表現,＃三対二の割合で混ぜる。,Na
58,1章,人間,表現,Na,Na,"全身で個性を表現します。
この美しさは言葉で表現できません。
「亡くなる」は「死ぬ」の意の表現です。","怒りが顔に表れた・ふうとうの表・この表をご覧ください。
太陽が現れる・現在は外出中です。",Na,Na
59,1章,人間,積極的,Na,Na,彼は知育社会の仕事に積極的でした。,"ほこりが積もる。積雪30センチ（せきせつ）
南極・極めて
目的","><消極的
消費者・消しゴム・電気が消える",Na
60,1章,人間,おとなしい,Na,Na,"彼は内気で大人しい青年です。
彼は先生の前ではおとなしいです。
もう少しおとなしくしてください！",Na,大人しい,Na
61,1章,人間,やかましい,Na,Na,"工場の音がやかましいです。（＝うるさい）
生徒にやかましい先生（＝きびしい）
手続きがやかましいです。（＝複雑）
彼は食べ物にやかましいです。",Na,うるさい,Na
62,1章,人間,慎重,Na,Na,"彼はその質問に慎重な答え方をしました。
万事に慎重な人",重さ・重要なお知らせ・慎重,"><軽率（けいそつ）
 慎＃真",Na
63,1章,人間,そそっかしい,Na,Na,"そそっかしくていつも忘れ物をしています。
あの人はそそっかしいから時々帽子を忘れて行きます。",慌て者,～落ち着かない,Na
64,1章,人間,きちんとした,Na,Na,彼女はきちんとした人です。,Na,><だらしない,Na
65,1章,人間,だらしない,Na,Na,"彼はだらしない人で、部屋はいつも汚いです。
お金にだらしない。
最近の親は子供にだらしないです。",Na,><きちんとした,Na
66,1章,人間,器用,Na,Na,"器用にはしを使います。
何事も器用にこなします。","食器・ご飯を器に盛る。
使用禁止・ 新しい方法を用いる。",><不器用な手つき,Na
67,1章,人間,要領,Na,Na,"要領よく話します。
要領が悪くて覚えられません。
質問の要領がはっきりしません。（ポイント）","パスポートが必要です・要ります
大統領",~ポイント,Na
68,1章,人間,謙虚,Na,Na,"謙虚な態度を取る。
あの人は自分の行いに非常に謙虚です。",謙譲語,Na,Na
69,1章,人間,生意気,Na,Na,彼は父親に生意気な事を言いました。,生のやさい・ 生活が楽になる・孫が生まれる・生き物・問題が生じる・誕生日・日本語を仕事に生かす,Na,Na
70,1章,人間,勘,Na,Na,"勘が働きます。
彼女は来なかった。僕の勘が当たった。",Na,～判断する能力,Na
71,1章,人間,鋭い,Na,Na,"鋭いナイフ
目のつけどころが鋭い。
語調が鋭い。 
鋭い痛みが走る。",Na,><鈍い,Na
72,1章,人間,鈍い,Na,Na,"ナイフの切れ味が鈍いです。
勘が鈍いです。
鈍い音・痛み",Na,＃車が鈍いです。（のろい）,Na
73,1章,人間,弱気,Na,Na,"一度失敗したからといって弱気になるな。
市場は弱気で下向きです。","力が弱い・20万円弱の給料
気持ち・寒気がする",Na,Na
74,1章,人間,強気,Na,Na,彼は強気な人です。,力が強い・5キロ強,Na,Na
75,1章,人間,頼もしい,Na,Na,"彼女は頼もしい味方です。
頼もしい記憶力を持つ人
息子さんが国立大学の法学部に行ってらっしゃるって? 頼もしいわね!",信頼できる人・料理を頼む・頼りになる,Na,Na
76,1章,人間,礼儀正しい,Na,Na,店員は礼儀正しく応対します。,"朝礼
礼儀
お正月・正解・正しい",儀＃議＃義,Na
77,1章,人間,冷静,Na,Na,彼女は危機に直面しても冷静さを失わなかった。,"冷房・冷でビールを飲む・冷たいコーヒー・ビールが冷える・ご飯が冷める。
静かな所・安静する。","～落ち着いている
",Na
78,1章,人間,陽気,Na,Na,"彼女は陽気な人です。
春らしい陽気になった。","太陽
気持ち・寒気がする",～明るい,Na
79,1章,人間,ユーモア,Na,Na,彼はユーモアのある人です。,Na,~おもしろい,Na
80,1章,人間,はきはき,Na,Na,先生が生徒にはきはき返答するように注意しました。,Na,~はっきり,Na
81,1章,人間,にこにこ,Na,Na,彼は嬉しがってにこにこしています。,Na,~にっこり,Na
82,1章,人間,純粋,Na,Na,"少年の頃の純粋な気持ち
純粋なアルコール
この車は純粋にスピードのために設計されました。",純粋,Na,Na
83,1章,人間,穏やか,Na,Na,"天気が穏やかです。
穏やかに話し合います。",Na,～冷静,Na
84,1章,人間,わがまま,Na,Na,うちの子はわがままです。,Na,Na,Na
85,1章,人間,強引,Na,Na,"母は強引な人です。
彼は娘をその男と強引に結婚させました。","強気・50キロ強・強引
引き出し・選手が引退する",Na,Na
86,1章,人間,厚かましい,Na,Na,"彼女は厚かましい人です。
厚かましいお願いできょうしゅくです。",本の厚さ・濃厚な牛乳,～ずうずうしい,Na
87,1章,人間,ずうずうしい,Na,Na,いくらずうずうしくても、君に借金は頼めません。,＝＞厚かましい,Na,Na
88,1章,人間,けち,Na,Na,"彼は大変けちな人です。ぜったいにお金を払わないのよ。
彼は私の仕事にいつもけちをつけてばかりいます。",Na,Na,Na
89,1章,人間,乱暴,Na,Na,"酔って乱暴を働く。
女性に乱暴する。
道具を乱暴に使う。",暴力,><丁寧,Na
90,1章,人間,気が荒い,Na,Na,"波が荒いです。（＝はげしい）
言葉が荒いです。（＝言葉遣いが悪い）
金遣いが荒いです。（＝お金にだらしない）",Na,Na,Na
91,1章,人間,ひきょう,Na,Na,彼はひきょうなやり方でレースに勝ちました。,Na,Na,Na
92,1章,人間,平気,Na,Na,"何が起きても平気です。
平気でうそをつきます。",平日・平等・平社員,Na,Na
93,1章,人間,裏切る,Na,Na,友だちを裏切るような男は信頼できません。,"ふうとうの裏
野菜を切る・大切な人",Na,Na
94,1章,人間,威張る,Na,Na,彼は奥さんの前ではいつも威張っています。,"威力 
出張に行く",Na,Na
95,1章,人間,ふざける,Na,Na,ふざけて怒ったふりをします。,Na,～冗談を言ったりする,Na
96,1章,人間,飽きる,Na,Na,ゲームに飽きます。,Na,Na,Na
97,1章,人間,慌てる,Na,Na,かぎが見つからなくて、大変慌てました。,Na,"＃荒い
~そそっかしい",Na
98,1章,人間,のんき,Na,Na,"丸子ちゃんはのんきな子です。
彼はどんな場合でもこんきにしています。",Na,Na,Na
99,1章,人間,のんびり,Na,Na,"のんびりした性格
のんびりおふろに入る。",Na,~リラックスする・のんき,Na
100,1章,人間,しゃれ,Na,Na,"彼はよくしゃれを言う人です。
僕にはそのしゃれはわかりません。
しゃれがうまい。",Na,～冗談を言～,Na
101,1章,人間,率直,Na,Na,彼女は彼に好きではないと率直に言いました。,"合格率・率直
直る・直接・直ぐに",Na,Na
102,1章,人間,人間,Na,Na,"東北の人間
人間ができている。","人・一人・人間・人類
机と棚の間・時間・間に合う・人間",Na,Na
103,1章,人間,心理,Na,Na,彼女は夫の心理がよくわかりません。,"心から・心理
料理",Na,Na
104,1章,人間,緊張,Na,Na,面接の前に緊張します。,Na,~どきどき,Na
105,1章,人間,どきどき,Na,Na,彼女は外国へ行けると思っただけでドキドキしました。,Na,～緊張する,Na
106,1章,人間,いらいら,Na,Na,バスが来なくていらいらします。,Na,～落ち着かない,Na
107,1章,人間,気楽,Na,Na,"気楽に考えます。
気楽なことを言います。",Na,Na,Na
